threshold,entries_kept,orig_bytes,comp_bytes,ratio,bypass_cnt,cycles
0,402,25728,26181,0.9827,402,130310
1,308,25728,20071,1.2818,308,100041
2,153,25728,9996,2.5738,153,50125
3,81,25728,5316,4.8397,81,26941
4,45,25728,2976,8.6452,45,15349
5,28,25728,1871,13.7509,28,9874
6,19,25728,1286,20.0062,19,6976
7,18,25728,1221,21.0713,18,6654
8,18,25728,1221,21.0713,18,6654
9,17,25728,1156,22.2561,17,6332
10,17,25728,1156,22.2561,17,6332
11,17,25728,1156,22.2561,17,6332
12,17,25728,1156,22.2561,17,6332
13,17,25728,1156,22.2561,17,6332
14,17,25728,1156,22.2561,17,6332
15,17,25728,1156,22.2561,17,6332
16,17,25728,1156,22.2561,17,6332
17,17,25728,1156,22.2561,17,6332
18,17,25728,1156,22.2561,17,6332
19,17,25728,1156,22.2561,17,6332
20,17,25728,1156,22.2561,17,6332
21,17,25728,1156,22.2561,17,6332
22,17,25728,1156,22.2561,17,6332
23,17,25728,1156,22.2561,17,6332
24,17,25728,1156,22.2561,17,6332
25,17,25728,1156,22.2561,17,6332
26,17,25728,1156,22.2561,17,6332
27,17,25728,1156,22.2561,17,6332
28,17,25728,1156,22.2561,17,6332
29,17,25728,1156,22.2561,17,6332
30,17,25728,1156,22.2561,17,6332
31,17,25728,1156,22.2561,17,6332
32,17,25728,1156,22.2561,17,6332
33,17,25728,1156,22.2561,17,6332
34,17,25728,1156,22.2561,17,6332
35,17,25728,1156,22.2561,17,6332
36,17,25728,1156,22.2561,17,6332
37,17,25728,1156,22.2561,17,6332
38,17,25728,1156,22.2561,17,6332
39,17,25728,1156,22.2561,17,6332
40,17,25728,1156,22.2561,17,6332
41,17,25728,1156,22.2561,17,6332
42,17,25728,1156,22.2561,17,6332
43,17,25728,1156,22.2561,17,6332
44,17,25728,1156,22.2561,17,6332
45,17,25728,1156,22.2561,17,6332
46,17,25728,1156,22.2561,17,6332
47,17,25728,1156,22.2561,17,6332
48,17,25728,1156,22.2561,17,6332
49,17,25728,1156,22.2561,17,6332
50,17,25728,1156,22.2561,17,6332
51,17,25728,1156,22.2561,17,6332
52,17,25728,1156,22.2561,17,6332
53,17,25728,1156,22.2561,17,6332
54,17,25728,1156,22.2561,17,6332
55,17,25728,1156,22.2561,17,6332
56,17,25728,1156,22.2561,17,6332
57,17,25728,1156,22.2561,17,6332
58,17,25728,1156,22.2561,17,6332
59,17,25728,1156,22.2561,17,6332
60,17,25728,1156,22.2561,17,6332
61,17,25728,1156,22.2561,17,6332
62,17,25728,1156,22.2561,17,6332
63,17,25728,1156,22.2561,17,6332
64,17,25728,1156,22.2561,17,6332
65,17,25728,1156,22.2561,17,6332
66,17,25728,1156,22.2561,17,6332
67,17,25728,1156,22.2561,17,6332
68,17,25728,1156,22.2561,17,6332
69,17,25728,1156,22.2561,17,6332
70,17,25728,1156,22.2561,17,6332
71,17,25728,1156,22.2561,17,6332
72,17,25728,1156,22.2561,17,6332
73,17,25728,1156,22.2561,17,6332
74,17,25728,1156,22.2561,17,6332
75,17,25728,1156,22.2561,17,6332
76,17,25728,1156,22.2561,17,6332
77,17,25728,1156,22.2561,17,6332
78,17,25728,1156,22.2561,17,6332
79,17,25728,1156,22.2561,17,6332
80,17,25728,1156,22.2561,17,6332
81,17,25728,1156,22.2561,17,6332
82,17,25728,1156,22.2561,17,6332
83,17,25728,1156,22.2561,17,6332
84,17,25728,1156,22.2561,17,6332
85,17,25728,1156,22.2561,17,6332
86,17,25728,1156,22.2561,17,6332
87,17,25728,1156,22.2561,17,6332
88,17,25728,1156,22.2561,17,6332
89,17,25728,1156,22.2561,17,6332
90,17,25728,1156,22.2561,17,6332
91,17,25728,1156,22.2561,17,6332
92,17,25728,1156,22.2561,17,6332
93,17,25728,1156,22.2561,17,6332
94,17,25728,1156,22.2561,17,6332
95,17,25728,1156,22.2561,17,6332
96,17,25728,1156,22.2561,17,6332
97,17,25728,1156,22.2561,17,6332
98,17,25728,1156,22.2561,17,6332
99,17,25728,1156,22.2561,17,6332
100,17,25728,1156,22.2561,17,6332
101,17,25728,1156,22.2561,17,6332
102,17,25728,1156,22.2561,17,6332
103,17,25728,1156,22.2561,17,6332
104,17,25728,1156,22.2561,17,6332
105,17,25728,1156,22.2561,17,6332
106,17,25728,1156,22.2561,17,6332
107,17,25728,1156,22.2561,17,6332
108,17,25728,1156,22.2561,17,6332
109,17,25728,1156,22.2561,17,6332
110,17,25728,1156,22.2561,17,6332
111,17,25728,1156,22.2561,17,6332
112,17,25728,1156,22.2561,17,6332
113,17,25728,1156,22.2561,17,6332
114,17,25728,1156,22.2561,17,6332
115,17,25728,1156,22.2561,17,6332
